  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
    0   390     1     4004   0   4  0 426950960  11584 -      Ss                  0 ??         0:00.40 /usr/libexec/eli 10:07PM
  261   392     1     4004   0  37  0 426915984   2944 -      Ss                  0 ??         0:00.02 /usr/libexec/hid 10:07PM
    0   393     1     4004   0   4  0 426950320   3984 -      Ss                  0 ??         0:00.04 /usr/libexec/tru 10:07PM
    0   397     1     4004   0   4  0 426951104   7536 -      Ss                  0 ??         0:00.06 /usr/libexec/sec 10:07PM
    0   400     1     4004   0   4  0 426916272   4272 -      Ss                  0 ??         0:01.18 /System/Library/ 10:07PM
    0   401     1     4004   0  31  0 426950096  12240 -      Ss                  0 ??         0:00.11 /usr/libexec/Pow 10:07PM
    0   402     1     4004   0   4  0 426961696  47040 -      Ss                  0 ??         0:18.82 /usr/libexec/mob 10:07PM
    0   403     1     4004   0  31  0 426916496   2224 -      S                   0 ??         0:00.28 /usr/sbin/distno 10:07PM
    0   405     1     4004   0   4  0 426916176   4064 -      Ss                  0 ??         0:00.02 /usr/libexec/App 10:07PM
   24   407     1     4004   0   4  0 426954784  16608 -      Ss                  0 ??         0:05.54 /usr/libexec/sym 10:07PM
   88   409     1     4004   0  31  0 426916496   2128 -      S                   0 ??         0:00.22 /usr/sbin/distno 10:07PM
  202   410     1     4004   0  31  0 426916496   1984 -      S                   0 ??         0:00.21 /usr/sbin/distno 10:07PM
   65   412     1     4004   0  37  0 426962384  13280 -      Ss                  0 ??         0:07.13 /usr/sbin/mDNSRe 10:07PM
    0   413     1     4004   0  31  0 410632944   2080 -      Ss                  0 ??         0:00.02 /usr/libexec/cry 10:07PM
    0   414     1     4004   0   4  0 426951632   8688 -      Ss                  0 ??         0:00.59 /System/Library/ 10:07PM
  289   417     1     4004   0   4  0 426949920  11040 -      Ss                  0 ??         0:02.11 /System/Library/ 10:07PM
  202   418     1     4004   0   4  0 410183856   2144 -      Ss                  0 ??         0:00.01 /System/Library/ 10:07PM
    0   419     1     4004   0   4  0 426951696   6384 -      Ss                  0 ??         0:00.06 /System/Library/ 10:07PM
    0   421     1     4004   0  31  0 426950528   4784 -      Ss                  0 ??         0:00.34 /usr/sbin/mDNSRe 10:07PM
    0   422     1     4004   0   4  0 426957072  13120 -      Ss                  0 ??         0:01.02 /usr/libexec/sto 10:07PM
    0   425     1     4004   0   4  0 426916592   4928 -      Ss                  0 ??         0:00.05 /System/Library/ 10:07PM
    0   426     1     4004   0  31  0 426957968  25872 -      Ss                  0 ??         0:02.28 /usr/libexec/sys 10:07PM
    0   428     1     4004   0   4  0 426916528   6624 -      Ss                  0 ??         0:00.15 /System/Library/ 10:07PM
  202   429     1     4004   0   4  0 410298576   2528 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
    0   434     1     4004   0  37  0 410922016   4800 -      Ss                  0 ??         0:03.33 /usr/libexec/aud 10:07PM
  205   443     1     4004   0   4  0 426953120  12064 -      S                   0 ??         0:00.56 /System/Library/ 10:07PM
  205   444     1     4004   0  31  0 426916496   1920 -      S                   0 ??         0:00.21 /usr/sbin/distno 10:07PM
    0   463     1     4104   0   4  0 426916048   3504 -      Ss                  0 ??         0:00.02 /usr/libexec/col 10:07PM
    0   469     1     4004   0   4  0 426912448   2416 -      Ss                  0 ??         0:00.01 /System/Library/ 10:07PM
  205   471     1     4004   0   4  0 426951120   6320 -      S                   0 ??         0:00.05 /usr/libexec/sec 10:07PM
    0   472     1     4004   0   4  0 410192144   2272 -      Ss                  0 ??         0:00.01 /System/Library/ 10:07PM
    0   479     1     4004   0   4  0 426915984   2624 -      Ss                  0 ??         0:00.04 /usr/libexec/col 10:07PM
  262   480     1     4004   0  31  0 426916496   2032 -      S                   0 ??         0:00.21 /usr/sbin/distno 10:07PM
    0   482     1     4004   0   4  0 411446048   5584 -      Ss                  0 ??         0:00.04 /System/Library/ 10:07PM
  205   483     1     4004   0   4  0 426916544   3120 -      S                   0 ??         0:00.05 /usr/sbin/cfpref 10:07PM
    0   484     1     4004   0   4  0 426961152  15168 -      Ss                  0 ??         0:00.16 /System/Library/ 10:07PM
